"dataset","fold","grid_neighborhood","grid_topology","grid_size_x","grid_size_y","rlen","radius","alpha1","alpha2","empty_neurons","qe_val"
"emotions","fold1","bubble","rectangular",3,3,1000,7,0.5,0.005,0,0.192640001362568
"emotions","fold1","bubble","rectangular",3,3,1500,7,0.5,0.005,0,0.237093394465105
"emotions","fold1","bubble","rectangular",3,3,500,3,0.1,0.005,0,0.247396640147152
"emotions","fold1","bubble","rectangular",3,3,1000,3,0.1,0.005,0,0.204637859183832
"emotions","fold1","bubble","rectangular",3,3,1500,3,0.1,0.005,0,0.278946151810402
"emotions","fold1","bubble","rectangular",3,3,500,5,0.1,0.005,0,0.275163479835248
"emotions","fold1","bubble","rectangular",3,3,1000,5,0.1,0.005,0,0.278683943801535
"emotions","fold1","bubble","rectangular",3,3,1500,5,0.1,0.005,0,0.253529972663862
"emotions","fold1","bubble","rectangular",3,3,500,7,0.1,0.005,0,0.276986888616228
"emotions","fold1","bubble","rectangular",3,3,1000,7,0.1,0.005,0,0.281258661214269
"emotions","fold1","bubble","rectangular",3,3,1500,7,0.1,0.005,0,0.280034168943957
"emotions","fold1","bubble","rectangular",3,3,500,3,0.05,0.005,0,0.279385119422629
"emotions","fold1","bubble","rectangular",3,3,1000,3,0.05,0.005,0,0.275570410261322
"emotions","fold1","bubble","rectangular",3,3,1500,3,0.05,0.005,0,0.300194244722909
"emotions","fold1","bubble","rectangular",3,3,500,5,0.05,0.005,0,0.278665474049081
"emotions","fold1","bubble","rectangular",3,3,1000,5,0.05,0.005,0,0.202079584603685
"emotions","fold1","bubble","rectangular",3,3,1500,5,0.05,0.005,0,0.272335707025668
"emotions","fold1","bubble","rectangular",3,3,500,7,0.05,0.005,0,0.284136185683068
"emotions","fold1","bubble","rectangular",3,3,1000,7,0.05,0.005,0,0.261469629201218
"emotions","fold1","bubble","rectangular",3,3,1500,7,0.05,0.005,0,0.294277690084555
"emotions","fold1","bubble","rectangular",3,3,500,3,0.5,0.001,0,0.192918983364215
"emotions","fold1","bubble","rectangular",3,3,1000,3,0.5,0.001,0,0.203608083775747
"emotions","fold1","bubble","rectangular",3,3,1500,3,0.5,0.001,0,0.219343195617766
"emotions","fold1","bubble","rectangular",3,3,500,5,0.5,0.001,0,0.220114229954897
"emotions","fold1","bubble","rectangular",3,3,1000,5,0.5,0.001,0,0.224323794117958
"emotions","fold1","bubble","rectangular",3,3,1500,5,0.5,0.001,0,0.190241546744703
"emotions","fold1","bubble","rectangular",3,3,500,7,0.5,0.001,0,0.229671470388013
"emotions","fold1","bubble","rectangular",3,3,1000,7,0.5,0.001,0,0.271252409058372
"emotions","fold1","bubble","rectangular",3,3,1500,7,0.5,0.001,0,0.23247330948216
"emotions","fold1","bubble","rectangular",3,3,500,3,0.1,0.001,0,0.231456989088458
"emotions","fold1","bubble","rectangular",3,3,1000,3,0.1,0.001,0,0.280372467748902
"emotions","fold1","bubble","rectangular",3,3,1500,3,0.1,0.001,0,0.284098727497184
"emotions","fold1","bubble","rectangular",3,3,500,5,0.1,0.001,0,0.278894678294221
"emotions","fold1","bubble","rectangular",3,3,1000,5,0.1,0.001,0,0.266822764016123
"emotions","fold1","bubble","rectangular",3,3,1500,5,0.1,0.001,0,0.266489174767822
"emotions","fold1","bubble","rectangular",3,3,500,7,0.1,0.001,0,0.282194098546006
"emotions","fold1","bubble","rectangular",3,3,1000,7,0.1,0.001,0,0.298822999799507
"emotions","fold1","bubble","rectangular",3,3,1500,7,0.1,0.001,0,0.245962058595456
"emotions","fold1","bubble","rectangular",3,3,500,3,0.05,0.001,0,0.28054704672921
"emotions","fold1","bubble","rectangular",3,3,1000,3,0.05,0.001,0,0.293428650326739
"emotions","fold1","bubble","rectangular",3,3,1500,3,0.05,0.001,0,0.296860807242218
"emotions","fold1","bubble","rectangular",3,3,500,5,0.05,0.001,0,0.276798859191528
"emotions","fold1","bubble","rectangular",3,3,1000,5,0.05,0.001,0,0.283073391578046
"emotions","fold1","bubble","rectangular",3,3,1500,5,0.05,0.001,0,0.307503005483616
"emotions","fold1","bubble","rectangular",3,3,500,7,0.05,0.001,0,0.295165436712158
"emotions","fold1","bubble","rectangular",3,3,1000,7,0.05,0.001,0,0.280621151854517
"emotions","fold1","bubble","rectangular",3,3,1500,7,0.05,0.001,0,0.284966301054217
"emotions","fold1","bubble","hexagonal",3,3,500,3,0.5,0.01,0,0.177760506821404
"emotions","fold1","bubble","hexagonal",3,3,1000,3,0.5,0.01,0,0.250053041234942
"emotions","fold1","bubble","hexagonal",3,3,1500,3,0.5,0.01,0,0.221254296215416
"emotions","fold1","bubble","hexagonal",3,3,500,5,0.5,0.01,0,0.201242672427693
"emotions","fold1","bubble","hexagonal",3,3,1000,5,0.5,0.01,0,0.206825468565269
"emotions","fold1","bubble","hexagonal",3,3,1500,5,0.5,0.01,0,0.18829313949872
"emotions","fold1","bubble","hexagonal",3,3,500,7,0.5,0.01,0,0.24685176194256
"emotions","fold1","bubble","hexagonal",3,3,1000,7,0.5,0.01,0,0.190740314714583
"emotions","fold1","bubble","hexagonal",3,3,1500,7,0.5,0.01,0,0.230032973750163
"emotions","fold1","bubble","hexagonal",3,3,500,3,0.1,0.01,0,0.226802039270303
"emotions","fold1","bubble","hexagonal",3,3,1000,3,0.1,0.01,0,0.191132858099298
"emotions","fold1","bubble","hexagonal",3,3,1500,3,0.1,0.01,0,0.270485058496766
"emotions","fold1","bubble","hexagonal",3,3,500,5,0.1,0.01,0,0.210420707571035
"emotions","fold1","bubble","hexagonal",3,3,1000,5,0.1,0.01,0,0.231105659334801
"emotions","fold1","bubble","hexagonal",3,3,1500,5,0.1,0.01,0,0.195069588160068
"emotions","fold1","bubble","hexagonal",3,3,500,7,0.1,0.01,0,0.221954752716978
"emotions","fold1","bubble","hexagonal",3,3,1000,7,0.1,0.01,0,0.203095637652284
"emotions","fold1","bubble","hexagonal",3,3,1500,7,0.1,0.01,0,0.190083646838273
"emotions","fold1","bubble","hexagonal",3,3,500,3,0.05,0.01,0,0.203999386997756
"emotions","fold1","bubble","hexagonal",3,3,1000,3,0.05,0.01,0,0.22664788240928
"emotions","fold1","bubble","hexagonal",3,3,1500,3,0.05,0.01,0,0.203661672766221
"emotions","fold1","bubble","hexagonal",3,3,500,5,0.05,0.01,0,0.256904275110665
"emotions","fold1","bubble","hexagonal",3,3,1000,5,0.05,0.01,0,0.191053060312225
"emotions","fold1","bubble","hexagonal",3,3,1500,5,0.05,0.01,0,0.26729812153801
"emotions","fold1","bubble","hexagonal",3,3,500,7,0.05,0.01,0,0.269721384557904
"emotions","fold1","bubble","hexagonal",3,3,1000,7,0.05,0.01,0,0.246213846886476
"emotions","fold1","bubble","hexagonal",3,3,1500,7,0.05,0.01,0,0.255124808493594
"emotions","fold1","bubble","hexagonal",3,3,500,3,0.5,0.005,0,0.19275135597009
"emotions","fold1","bubble","hexagonal",3,3,1000,3,0.5,0.005,0,0.20604949839441
"emotions","fold1","bubble","hexagonal",3,3,1500,3,0.5,0.005,0,0.191251451923209
"emotions","fold1","bubble","hexagonal",3,3,500,5,0.5,0.005,0,0.204446494476552
"emotions","fold1","bubble","hexagonal",3,3,1000,5,0.5,0.005,0,0.210661220060331
"emotions","fold1","bubble","hexagonal",3,3,1500,5,0.5,0.005,0,0.199510631534585
"emotions","fold1","bubble","hexagonal",3,3,500,7,0.5,0.005,0,0.201916207840077
"emotions","fold1","bubble","hexagonal",3,3,1000,7,0.5,0.005,0,0.20477223873726
"emotions","fold1","bubble","hexagonal",3,3,1500,7,0.5,0.005,0,0.21471933771629
"emotions","fold1","bubble","hexagonal",3,3,500,3,0.1,0.005,0,0.229840870591991
"emotions","fold1","bubble","hexagonal",3,3,1000,3,0.1,0.005,0,0.213518325188116
"emotions","fold1","bubble","hexagonal",3,3,1500,3,0.1,0.005,0,0.20425963194515
"emotions","fold1","bubble","hexagonal",3,3,500,5,0.1,0.005,0,0.230015462913779
"emotions","fold1","bubble","hexagonal",3,3,1000,5,0.1,0.005,0,0.231931875282824
"emotions","fold1","bubble","hexagonal",3,3,1500,5,0.1,0.005,0,0.190454940337572
"emotions","fold1","bubble","hexagonal",3,3,500,7,0.1,0.005,0,0.228107226854876
"emotions","fold1","bubble","hexagonal",3,3,1000,7,0.1,0.005,0,0.249958492301057
"emotions","fold1","bubble","hexagonal",3,3,1500,7,0.1,0.005,0,0.249634681683182
"emotions","fold1","bubble","hexagonal",3,3,500,3,0.05,0.005,0,0.204552165644139
"emotions","fold1","bubble","hexagonal",3,3,1000,3,0.05,0.005,0,0.248501830254688
"emotions","fold1","bubble","hexagonal",3,3,1500,3,0.05,0.005,0,0.242245859789311
"emotions","fold1","bubble","hexagonal",3,3,500,5,0.05,0.005,0,0.27749828689407
"emotions","fold1","bubble","hexagonal",3,3,1000,5,0.05,0.005,0,0.267415554797842
"emotions","fold1","bubble","hexagonal",3,3,1500,5,0.05,0.005,0,0.248174306403744
