"dataset","neighborhood","topology","rlen","radius","alpha_start","alpha_end","n_folds","mean_time_s","total_time_s"
"scene","bubble","rectangular",1000,1,0.1,0.01,3,12.6566666666667,37.97
"scene","bubble","rectangular",1000,1.5,0.05,0.005,3,11.81,35.43
"scene","bubble","rectangular",1000,1.5,0.05,0.01,3,12.4866666666667,37.46
"scene","bubble","rectangular",1000,1.5,0.1,0.005,3,12.14,36.42
"scene","bubble","rectangular",1000,1.5,0.1,0.01,3,12.8466666666667,38.54
"scene","gaussian","hexagonal",100,1,0.05,0.005,3,10.2,30.6
"scene","gaussian","hexagonal",100,1,0.05,0.01,3,10.84,32.52
"scene","gaussian","hexagonal",100,1,0.1,0.005,3,10.5333333333333,31.6
"scene","gaussian","hexagonal",100,1,0.1,0.01,3,11.1666666666667,33.5
"scene","gaussian","hexagonal",100,1.5,0.05,0.005,3,10.37,31.11
"scene","gaussian","hexagonal",100,1.5,0.05,0.01,3,11.0133333333333,33.04
"scene","gaussian","hexagonal",100,1.5,0.1,0.005,3,10.6866666666667,32.06
"scene","gaussian","hexagonal",100,1.5,0.1,0.01,3,11.3333333333333,34
"scene","gaussian","hexagonal",500,1,0.05,0.005,3,10.2533333333333,30.76
"scene","gaussian","hexagonal",500,1,0.05,0.01,3,10.8966666666667,32.69
"scene","gaussian","hexagonal",500,1,0.1,0.005,3,10.58,31.74
"scene","gaussian","hexagonal",500,1,0.1,0.01,3,11.2233333333333,33.67
"scene","gaussian","hexagonal",500,1.5,0.05,0.005,3,10.42,31.26
"scene","gaussian","hexagonal",500,1.5,0.05,0.01,3,11.0633333333333,33.19
"scene","gaussian","hexagonal",500,1.5,0.1,0.005,3,10.7366666666667,32.21
"scene","gaussian","hexagonal",500,1.5,0.1,0.01,3,11.3866666666667,34.16
"scene","gaussian","hexagonal",1000,1,0.05,0.005,3,10.3466666666667,31.04
"scene","gaussian","hexagonal",1000,1,0.05,0.01,3,10.9866666666667,32.96
"scene","gaussian","hexagonal",1000,1,0.1,0.005,3,10.67,32.01
"scene","gaussian","hexagonal",1000,1,0.1,0.01,3,11.3133333333333,33.94
