"dataset","fold","neighborhood","topology","grid_size","rlen","radius","alpha_start","alpha_end","empty_neurons","qe_val","iter_time_s"
"scene",1,"bubble","rectangular","2x2",1000,1,0.05,0.005,0,0.509177939168236,4.79
"scene",1,"bubble","rectangular","2x2",100,1.5,0.05,0.005,0,0.372069124785387,4.82
"scene",1,"bubble","rectangular","2x2",500,1.5,0.05,0.005,0,0.366818014447023,4.88
"scene",1,"bubble","rectangular","2x2",1000,1.5,0.05,0.005,0,0.366336690199446,4.99
"scene",1,"bubble","rectangular","2x2",100,1,0.1,0.005,0,0.37429129864462,5
"scene",1,"bubble","rectangular","2x2",500,1,0.1,0.005,0,0.360560169288367,5.04
"scene",1,"bubble","rectangular","2x2",1000,1,0.1,0.005,0,0.3728834036584,5.13
"scene",1,"bubble","rectangular","2x2",100,1.5,0.1,0.005,0,0.365536760868064,5.15
"scene",1,"bubble","rectangular","2x2",500,1.5,0.1,0.005,0,0.362122599209533,5.21
"scene",1,"bubble","rectangular","2x2",1000,1.5,0.1,0.005,0,0.358014617087609,5.34
"scene",1,"bubble","rectangular","2x2",100,1,0.05,0.01,0,0.369856540834252,5.36
"scene",1,"bubble","rectangular","2x2",500,1,0.05,0.01,0,0.378250423780051,5.4
"scene",1,"bubble","rectangular","2x2",1000,1,0.05,0.01,0,0.380633211871961,5.5
"scene",1,"bubble","rectangular","2x2",100,1.5,0.05,0.01,0,0.364003795668392,5.51
"scene",1,"bubble","rectangular","2x2",500,1.5,0.05,0.01,0,0.363329603796991,5.58
"scene",1,"bubble","rectangular","2x2",1000,1.5,0.05,0.01,0,0.372245927478595,5.7
"scene",1,"bubble","rectangular","2x2",100,1,0.1,0.01,0,0.381637243903961,5.72
"scene",1,"bubble","rectangular","2x2",500,1,0.1,0.01,0,0.380653484238662,5.8
"scene",1,"bubble","rectangular","2x2",1000,1,0.1,0.01,0,0.527707432096808,5.9
"scene",1,"bubble","rectangular","2x2",100,1.5,0.1,0.01,0,0.358276780618474,5.92
"scene",1,"bubble","rectangular","2x2",500,1.5,0.1,0.01,0,0.367164893918481,5.99
"scene",1,"bubble","rectangular","2x2",1000,1.5,0.1,0.01,0,0.383996849363743,6.11
"scene",1,"bubble","hexagonal","2x2",100,1,0.05,0.005,0,0.368902389222746,6.13
"scene",1,"bubble","hexagonal","2x2",500,1,0.05,0.005,0,0.369176713989273,6.2
"scene",1,"bubble","hexagonal","2x2",1000,1,0.05,0.005,0,0.390101103829534,6.31
"scene",1,"bubble","hexagonal","2x2",100,1.5,0.05,0.005,0,0.373446857703474,6.33
"scene",1,"bubble","hexagonal","2x2",500,1.5,0.05,0.005,0,0.362110840841635,6.39
"scene",1,"bubble","hexagonal","2x2",1000,1.5,0.05,0.005,0,0.371519262794294,6.5
"scene",1,"bubble","hexagonal","2x2",100,1,0.1,0.005,0,0.360065965189899,6.52
"scene",1,"bubble","hexagonal","2x2",500,1,0.1,0.005,0,0.369063421412086,6.56
"scene",1,"bubble","hexagonal","2x2",1000,1,0.1,0.005,0,0.380731046544093,6.66
"scene",1,"bubble","hexagonal","2x2",100,1.5,0.1,0.005,0,0.378451673397653,6.68
"scene",1,"bubble","hexagonal","2x2",500,1.5,0.1,0.005,0,0.358164739114698,6.74
"scene",1,"bubble","hexagonal","2x2",1000,1.5,0.1,0.005,0,0.380369062194316,6.86
"scene",1,"bubble","hexagonal","2x2",100,1,0.05,0.01,0,0.371568913939439,6.87
"scene",1,"bubble","hexagonal","2x2",500,1,0.05,0.01,1,0.554751576682349,6.92
"scene",1,"bubble","hexagonal","2x2",1000,1,0.05,0.01,0,0.371793447243582,7.01
"scene",1,"bubble","hexagonal","2x2",100,1.5,0.05,0.01,0,0.383288522931077,7.02
"scene",1,"bubble","hexagonal","2x2",500,1.5,0.05,0.01,0,0.358450194725301,7.08
